epoch,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.6753897023190942,0.6525869129896164,0.59445,0.6785781811306485,0.3589,0.4694878670939892
2,0.6400633050739538,0.6043994698762893,0.6704,0.6838584376348726,0.6338,0.6578783475192028
3,0.606342753656195,0.5608584738731385,0.7104,0.715839146491588,0.6978,0.7067044764026736
4,0.5765786511816544,0.624977341222763,0.67405,0.6152572677306138,0.9291,0.7402892315047209
5,0.5403223290899715,0.5857487709641457,0.70605,0.6382978723404256,0.951,0.7638860998433673
6,0.48736761264236717,0.4587309282898903,0.7893,0.7412441627751835,0.8889,0.8083848672244452
7,0.46388325576641287,0.41034085355997085,0.81485,0.8113935317970528,0.8204,0.8158719108945354
8,0.4471163832389325,0.4050898548364639,0.82315,0.7976969138645785,0.8659,0.8304003836010548
9,0.4321413499510773,0.41256966134905815,0.8162,0.762580966616841,0.9183,0.8332274748207966
10,0.42038427999872185,0.38311979402899743,0.82555,0.8507703911216463,0.7896,0.8190446553601991
11,0.4079759385000469,0.3774043395578861,0.8268,0.8840188014101058,0.7523,0.8128579146407348
12,0.39659049893183496,0.39904274495244024,0.80795,0.9147474747474748,0.6792,0.7795695839311335
13,0.3844411166292652,0.33612445636987687,0.8552,0.8302957039241212,0.8929,0.8604606340946324
14,0.37680953241355125,0.3261972844660282,0.85935,0.8423359054968086,0.8842,0.8627604039615553
15,0.3680282627918162,0.3201398651242256,0.86495,0.8656447249774571,0.864,0.8648215805014763
16,0.35753189009741876,0.37824427303671837,0.80895,0.9384135092947353,0.6613,0.7758549891476506
17,0.3522820907869569,0.30423876263797284,0.87075,0.8763577301796772,0.8633,0.8697798599566772
18,0.3442684951534969,0.38370563247203826,0.8307,0.7558013613861386,0.9771,0.8523203070481506
19,0.3387707996648321,0.32537668989896773,0.84895,0.9233288851146427,0.7611,0.834402236474264
20,0.310092982460284,0.2609962270706892,0.8915,0.8713012139605463,0.9187,0.8943730529595015
21,0.30468621182775657,0.2556098669528961,0.89715,0.919687202789813,0.8703,0.8943122848481735
22,0.3010298688391782,0.23893107747137546,0.90555,0.8898394693838316,0.9257,0.9074155761407636
23,0.2957322383629409,0.24461405323445798,0.89955,0.9152031590979944,0.8807,0.8976201396320644
24,0.2911936522838298,0.2722448528468609,0.8876,0.8323615160349854,0.9707,0.8962238020496722
25,0.276576176437251,0.22790834602117538,0.90925,0.8809457321046262,0.9464,0.9125006026129296
26,0.2724100331555164,0.22151269178390504,0.91185,0.9176554102018051,0.9049,0.9112330698353557
27,0.2694746512559369,0.22346512170135974,0.91545,0.890644099670898,0.9472,0.9180518536467167
28,0.2669846158466981,0.21341877445578575,0.91735,0.9144900188697984,0.9208,0.9176341621406149
29,0.26545238820653866,0.21065239888727666,0.91745,0.9048588885656096,0.933,0.9187139973413422
30,0.2624240405464374,0.26038657066226006,0.89285,0.8366612391807353,0.9763,0.9011029581429693
